"","text"
"1","@MbalulaFikile comrade what’s going on here with EC MEC. Did she not get an invite to #SONA2019 <U+0001F923> https://t.co/0Gx8nndUuZ"
"2","Later at 8pm @nombonisogasa on #CyrilSoldOut claims by @MTLekota of Cope, @somadodafikeni on #SONA2019 and the music group Soil on their #Korobela tour. Join #FridaysWithTimModise on @eNCA . Join us"
"3","Join us on #FridayswthTimModise on @eNCA . First is #SONA2019 2nd #StateCaptureInquiry . Talk to us"
"4","The #SONA2019 by Pres @CyrilRamaphosa was a very encouraging under the circumstances. The next 90 days are what’s left for govt to deliver on those promises. What is prioritized will give a sense of how the ANC will perform at elections &amp; post."
"5","Hear what @richardcalland has to say about political party funding and what @Julius_S_Malema predicted about #eskom and #SONA2019 at https://t.co/rerBHC8MEj. Lots of content on the economy &amp; business. https://t.co/Kevn4ULkIw"
"6","Can anyone explain why #Loadshedding started after Ramaphosa's #SONA2019 speech and suddenly stopped when he told unions that there will be no job losses.
The unions are in full control of Eskom and that means in control of SAfrica. We are under communist control."
"7","@Mikobear The unions are sabotaging it again because of Cyrils #SONA2019 speech on breaking up Eskom."
"8","I said this before Ramaphosa's #SONA2019 speech. You'll be the judged if I was right or wrong. https://t.co/l0hOm8Alw7"
"9","#SONA2019 had its moments. https://t.co/WP9XFA6eUP"
"10","Haha. Let's see how you get this one right in your corrupt to the core country Mr #Bosasa. #SONA2019 https://t.co/u5yyhjBgVo"
"11","Porn politics as published by #SONA2019 https://t.co/WJPiZChMzH"
"12","@Eskom_SA @CityPowerJhb @City_Ekurhuleni @CityTshwane @CityofCT @eNCA @IOL @SABCNewsOnline Just say it. The union pawns are sabotaging Eskom because of Ramaphosa's #SONA2019 Eskom statement."
"13","In Afrikaans. Ramaphosa is 'n Doos. Elkeen op Twitter behoort dit te verstaan. #SONA2019"
"14","@BDliveSA More opportunities for more corruption. It's meaningless. Eskom still heavily in debt and state owned.  Like painting a car wreck in the scrap yard. #SONA2019"
"15","I am commenting on #SONA2019 without listening to one word Rama Poesa said. The lies are the same since 94."
"16","Let's connect dots.
#SONA2019 Ramaphosa says Eskom will split up in three divisions.
Two days later #Loadshedding starts.
Three days later Eskom talks about damaged equipment and moves to stage 4.
Conclusion. Eskom will stay a sinking ship run by union bosses. https://t.co/g2HNqLq18q"
"17","#SONA2019 https://t.co/rqY7xBAqE3"
"18","#SONA2019 https://t.co/kC9sqaJxFn"
"19","#SONA2019 #SONAReply https://t.co/f2XA4kbHWo"
"20","None of these two, but Naledi Pandor's response to Malema was just <U+0001F44C><U+0001F3FC> #SONADebate #SONA2019 https://t.co/omPv8TRWcS"
"21","LMAO! <U+0001F923> Does President Ramaphosa need to meet the requirements of Malema the skelm or of the voters?. The #EFF has jokes <U+0001F644> #SONA2019 https://t.co/VymzU1NESj"
"22","#SONA2019 https://t.co/zZb5zXn3mP"
"23","#EFF #Malema  'THE COWNTRY' <U+0001F92D>
#SONA2019 
The people will decide if they want another division like the scorpions or not, but definitely not Malema. https://t.co/fBfRwRi1YJ"
"24","Spot On! <U+0001F44C><U+0001F3FC><U+0001F602><U+0001F923> #SONA2019 https://t.co/XGXTDwMEzs"
